Name,BO_Year,BOMojoFilmURL,Duration
Look Who's Talking,1989,https://www.boxofficemojo.com/release/rl2992735745/,1 hr 33 min
Ghostbusters II,1989,https://www.boxofficemojo.com/release/rl3629483521/,1 hr 48 min
Dead Poets Society,1989,https://www.boxofficemojo.com/release/rl2605483521/,2 hr 8 min
Parenthood,1989,https://www.boxofficemojo.com/release/rl2221508097/,2 hr 4 min
Back to the Future Part II,1989,https://www.boxofficemojo.com/release/rl2991162881/,1 hr 48 min
When Harry Met Sally...,1989,https://www.boxofficemojo.com/release/rl1196852737/,1 hr 35 min
Turner & Hooch,1989,https://www.boxofficemojo.com/release/rl594970113/,1 hr 37 min
Uncle Buck,1989,https://www.boxofficemojo.com/release/rl3027666433/,1 hr 40 min
Field of Dreams,1989,https://www.boxofficemojo.com/release/rl1515423233/,1 hr 47 min
Twins,1989,https://www.boxofficemojo.com/release/rl2021033473/,1 hr 47 min
Sea of Love,1989,https://www.boxofficemojo.com/release/rl1030653441/,1 hr 53 min
Pet Sematary,1989,https://www.boxofficemojo.com/release/rl1449690625/,1 hr 43 min
The Abyss,1989,https://www.boxofficemojo.com/release/rl205555201/,2 hr 51 min
Harlem Nights,1989,https://www.boxofficemojo.com/release/rl1230407169/,1 hr 56 min
National Lampoon's Christmas Vacation,1989,https://www.boxofficemojo.com/release/rl2454423041/,1 hr 37 min
Ghost,1990,https://www.boxofficemojo.com/release/rl3864364545/,2 hr 7 min
Pretty Woman,1990,https://www.boxofficemojo.com/release/rl2439742977/,1 hr 59 min
Home Alone,1990,https://www.boxofficemojo.com/release/rl3629745665/,1 hr 43 min
Teenage Mutant Ninja Turtles,1990,https://www.boxofficemojo.com/release/rl4235560449/,1 hr 33 min
The Hunt for Red October,1990,https://www.boxofficemojo.com/release/rl4015556097/,2 hr 15 min
Total Recall,1990,https://www.boxofficemojo.com/release/rl74941953/,1 hr 53 min
Die Hard 2,1990,https://www.boxofficemojo.com/release/rl1380943361/,2 hr 4 min
Driving Miss Daisy,1990,https://www.boxofficemojo.com/release/rl2790163969/,1 hr 39 min
Dick Tracy,1990,https://www.boxofficemojo.com/release/rl3209659905/,1 hr 45 min
Back to the Future Part III,1990,https://www.boxofficemojo.com/release/rl3007940097/,1 hr 58 min
Presumed Innocent,1990,https://www.boxofficemojo.com/release/rl2775287297/,2 hr 7 min
Days of Thunder,1990,https://www.boxofficemojo.com/release/rl1246529025/,1 hr 47 min
Another 48 Hrs.,1990,https://www.boxofficemojo.com/release/rl507676161/,1 hr 33 min
Bird on a Wire,1990,https://www.boxofficemojo.com/release/rl1330087425/,1 hr 50 min
Born on the Fourth of July,1990,https://www.boxofficemojo.com/release/rl2823194113/,2 hr 25 min
Flatliners,1990,https://www.boxofficemojo.com/release/rl3260253697/,1 hr 55 min
Dances with Wolves,1990,https://www.boxofficemojo.com/release/rl944539137/,3 hr 1 min
Problem Child,1990,https://www.boxofficemojo.com/release/rl3228272129/,1 hr 21 min
Arachnophobia,1990,https://www.boxofficemojo.com/release/rl1229096449/,1 hr 49 min
Three Men and a Little Lady,1990,https://www.boxofficemojo.com/release/rl2436990465/,1 hr 44 min
